,Business Name,Address,City,State,Zip,Country,Number of Actions,Dollars Obligated,Per Capita Spending,Range of Actions,Lat,Lon,Cong. Dis.,Senator 1,Senator 2,Representative
0,LOCKHEED MARTIN CORPORATION,700 N FREDERICK AVE,GAITHERSBURG,MD,20879,USA,58430,48665796759.96,832890.58,"10,000-99,999",39.1439689,-77.2016062,06,Ben Cardin (D),Chris Van Hollen (D),David Trone (D)
1,"BOEING COMPANY, THE",3373 BRECKINRIDGE BLVD,RICHARDSON,TX,75082,USA,18765,28088703923.58,1496866.72,"10,000-99,999",32.9483335,-96.7298519,03,John Cornyn (R),Ted Cruz (R),Van Taylor (R)
2,RAYTHEON COMPANY,5001 US HIGHWAY 30 W,FORT WAYNE,IN,46818,USA,12662,16350781984.24,1291326.96,"10,000-99,999",41.079273,-85.1393513,03,Todd Young (R),Mike Braun (R),Jim Banks (R)
3,MCKESSON CORPORATION,6555 STATE HIGHWAY 161,IRVING,TX,75039,USA,82167,9640424758.98,117327.21,"10,000-99,999",32.8140177,-96.9488945,24,John Cornyn (R),Ted Cruz (R),Kenny Marchant (R)
4,"LEIDOS HOLDINGS, INC.",1750 PRESIDENTS ST,RESTON,VA,20190,USA,4830,7272381497.59,1505669.05,"1,000-9,999",38.9586307,-77.35700279999999,11,Mark Warner (D),Tim Kaine (D),Gerry Connolly (D)
5,FLUOR CORPORATION,6700 LAS COLINAS BLVD,IRVING,TX,75039,USA,364,5254246844.84,14434744.08,"Under 1,000",32.8140177,-96.9488945,24,John Cornyn (R),Ted Cruz (R),Kenny Marchant (R)
6,BOOZ ALLEN HAMILTON HOLDING CORPORATION,8283 GREENSBORO DR,MCLEAN,VA,22102,USA,5731,5146753759.91,898055.1,"1,000-9,999",38.9338676,-77.1772604,11,Mark Warner (D),Tim Kaine (D),Gerry Connolly (D)
7,JACOBS ENGINEERING GROUP INC.,200 W FORSYTH ST STE 1520,JACKSONVILLE,FL,32202,USA,3630,3345954534.57,921750.56,"1,000-9,999",30.3321838,-81.65565099999999,05,Marco Rubio (R),Rick Scott (R),Al Lawson (D)
8,OSHKOSH CORPORATION,1917 FOUR WHEEL DR,OSHKOSH,WI,54902,USA,13577,2884558669.59,212459.21,"10,000-99,999",44.0247062,-88.5426136,06,Ron Johnson (R),Tammy Baldwin (D),Glenn Grothman (R)
9,TEXTRON INC.,13800 OLD GENTILLY RD BLDG 220,NEW ORLEANS,LA,70129,USA,5483,1719903754.72,313679.33,"1,000-9,999",29.95106579999999,-90.0715323,02,Bill Cassidy (R),John Kennedy (R),Cedric Richmond (D)
10,PFIZER INC.,235 E 42ND ST,NEW YORK,NY,10017,USA,367,1036482417.97,2824202.77,"Under 1,000",40.7127753,-74.0059728,12,Charles Schumer (D),Kirsten Gillibrand (D),Carolyn Maloney (D)
11,MANTECH INTERNATIONAL CORPORATION,2251 CORPORATE PARK DR STE 600,HERNDON,VA,20171,USA,1099,1034978797.13,941745.95,"1,000-9,999",38.9695545,-77.3860976,11,Mark Warner (D),Tim Kaine (D),Gerry Connolly (D)
